0	b
10	v
20	z
30	1
40	p
50	n
60	f
70	8
80	y
90	c
100	t
110	b
120	l
130	j
140	5
150	t
160	9
170	j
180	t
190	g
200	i
210	n
220	0
230	x
240	3
250	q
260	n
270	9
280	g
290	7
300	t
310	y
320	7
330	r
340	s
350	e
360	x
370	p
380	7
390	 
400	g
410	r
420	j
430	1
440	f
450	6
460	0
470	c
480	h
490	i
500	h
510	7
520	j
530	w
540	m
550	2
560	z
570	b
580	t
590	y
600	q
610	a
620	x
630	g
640	0
650	z
660	i
670	b
680	r
690	r
700	d
710	g
720	y
730	d
740	s
750	h
760	r
770	s
780	h
790	h
800	s
810	l
820	8
830	v
840	3
850	w
860	s
870	7
880	v
890	g
900	e
910	d
920	6
930	4
940	s
950	e
960	6
970	e
980	6
990	t
1000	i
1010	w
1020	e
1030	0
1040	t
1050	z
1060	1
1070	k
1080	b
1090	m
1100	h
1110	a
1120	 
1130	z
1140	 
1150	t
1160	q
1170	c
1180	n
1190	1
1200	q
1210	a
1220	g
1230	4
1240	8
1250	c
1260	i
1270	t
1280	2
1290	b
1300	d
1310	l
1320	9
1330	 
1340	s
1350	q
1360	q
1370	0
1380	8
1390	m
1400	b
1410	q
1420	7
1430	t
1440	w
1450	6
1460	9
1470	9
1480	4
1490	4
1500	d
1510	j
1520	q
1530	9
1540	q
1550	3
1560	s
1570	s
1580	z
1590	j
1600	s
1610	8
1620	b
1630	l
1640	o
1650	k
1660	i
1670	f
1680	6
1690	y
1700	2
1710	h
1720	a
1730	d
1740	b
1750	r
1760	l
1770	7
1780	z
1790	q
1800	r
1810	5
1820	s
1830	g
1840	b
1850	t
1860	c
1870	1
1880	u
1890	r
1900	j
1910	c
1920	t
1930	1
1940	m
1950	3
1960	u
1970	q
1980	5
1990	s
2000	h
2010	v
2020	s
2030	g
2040	g
2050	7
2060	o
2070	o
2080	y
2090	i
2100	7
2110	d
2120	0
2130	0
2140	6
2150	b
2160	g
2170	y
2180	f
2190	o
2200	t
2210	f
2220	g
2230	u
2240	h
